week,year_2,year_1
1,320,
2,220,
3,170,
4,190,
5,200,
6,170,240
7,160,170
8,160,130
9,140,90
10,140,110
11,180,130
12,160,110
13,160,110
14,170,110
15,190,130
16,,70
17,,90
18,,100
19,,80
20,,90
