week,year_2,year_1
1,80,
2,100,
3,60,
4,100,
5,100,
6,90,100
7,80,80
8,80,90
9,80,80
10,70,70
11,90,60
12,80,60
13,80,60
14,80,50
15,70,50
16,,50
17,,80
18,,80
19,,60
20,,50
